Language,Family,ISO 639-3,Reference,Nucleus,Diphthongs,Relevant spelling conventions,Affixes,Allomorphs,Type,Syllables,Segments,,,,
Ashéninka Perené,Arawakan,prq,Mihas (2015: 657-659),V (54),"/ia, io, ai, oi/ -- argued to be bimoraic; front vowels, not glides (39-40)","ty, sh, ch, ts = monosegmental (66-67)",,,,,,,,,
,,,,,,,a-,1,P,1,1,,,,
,,,,,,, -a,1,S,1,1,,,,
,,,,,,, -a,1,S,1,1,,,,
,,,,,,," -acha,-atsi",2,S,2,3,,,,
,,,,,,, -ai,1,S,1,1,,,,
,,,,,,, -ai,1,S,1,1,,,,
,,,,,,," -aincha, -aintsi",2,S,2,4,,,,
,,,,,,, -aiy (-ni),2,S,1.5,3,,,,
,,,,,,, -aj,1,S,1,2,,,,
,,,,,,, -ak,1,S,1,2,,,,
,,,,,,, -aka,1,S,2,3,,,,
,,,,,,, -ako,1,S,2,3,,,,
,,,,,,, -amampi,1,S,3,6,,,,
,,,,,,, -aman,1,S,2,4,,,,
,,,,,,, -an,1,S,1,2,,,,
,,,,,,, -aniki,1,S,3,5,,,,
,,,,,,, -ant,1,S,1,3,,,,
,,,,,,, -ant,1,S,1,3,,,,
,,,,,,, -ap,1,S,1,2,,,,
,,,,,,, -apaint,1,S,2,5,,,,
,,,,,,, -apanant,1,S,3,7,,,,
,,,,,,, -apint,1,S,2,5,,,,
,,,,,,, -apitsa,1,S,3,5,,,,
,,,,,,, -ashi,1,S,2,3,,,,
,,,,,,, -atai,1,S,2,3,,,,
,,,,,,," -aty, -atz",2,S,1,2,,,,
,,,,,,, -aty,1,S,1,2,,,,
,,,,,,, -av,1,S,1,2,,,,
,,,,,,, -avak,1,S,2,4,,,,
,,,,,,, -e,1,S,1,1,,,,
,,,,,,,i-,1,P,1,1,,,,
,,,,,,, -i,1,S,1,1,,,,
,,,,,,, -i,1,S,1,1,,,,
,,,,,,," -ia, -eya",2,S,1.5,2,,,,
,,,,,,, -ima(i),2,S,2,3,,,,
,,,,,,, -nka,1,S,1,3,,,,
,,,,,,, -iriki,1,S,3,5,,,,
,,,,,,, -it ,1,S,1,2,,,,
,,,,,,, -ite,1,S,2,3,,,,
,,,,,,, -ite,1,S,2,3,,,,
,,,,,,, -ite,1,S,2,3,,,,
,,,,,,, -jee (-ni),2,S,1.5,3,,,,
,,,,,,, -ki,1,S,1,2,,,,
,,,,,,, -ki,1,S,1,2,,,,
,,,,,,, -mache,1,S,2,4,,,,
,,,,,,, -matsi,1,S,2,4,,,,
,,,,,,, -mento,1,S,2,5,,,,
,,,,,,, mi-,1,P,1,2,,,,
,,,,,,, -mi,1,S,1,2,,,,
,,,,,,, -na ,1,S,1,2,,,,
,,,,,,, -ni,1,S,1,2,,,,
,,,,,,, -ni,1,S,1,2,,,,
,,,,,,, -ni,1,S,1,2,,,,
,,,,,,, -ni,1,S,1,2,,,,
,,,,,,, -ni,1,S,1,2,,,,
,,,,,,, -ni,1,S,1,2,,,,
,,,,,,, -ni,1,S,1,2,,,,
,,,,,,, -nint,1,S,1,4,,,,
,,,,,,, -nta,1,S,1,3,,,,
,,,,,,," -ntzi, -nto",2,S,1,3,,,,
,,,,,,,o- ,1,P,1,1,,,,
,,,,,,,"oi-, ov-, v-",3,P,0.7,1.3,,,,
,,,,,,, -patsaini,1,S,3,6,,,,
,,,,,,, -paye,1,S,2,4,,,,
,,,,,,," -pero, -piro",2,S,2,4,,,,
,,,,,,, -ri,1,S,1,2,,,,
,,,,,,, -ri,1,S,1,2,,,,
,,,,,,, -ri,1,S,1,2,,,,
